TimeStamp,Open,High,Low,Close
2014-10-24 20:00:00,1.26676,1.27707,1.24858,1.25304
2014-10-31 20:00:00,1.25304,1.25774,1.23582,1.24530
2014-11-07 21:00:00,1.24530,1.25464,1.23946,1.25267
2014-11-14 21:00:00,1.25267,1.26002,1.23750,1.23922
2014-11-21 21:00:00,1.23922,1.25316,1.23621,1.24400
2014-11-28 21:00:00,1.24400,1.25068,1.22710,1.22896
2014-12-05 21:00:00,1.22900,1.24952,1.22474,1.24546
2014-12-12 21:00:00,1.24542,1.25696,1.22204,1.22268
2014-12-19 21:00:00,1.22267,1.22727,1.21648,1.21782
2014-12-26 21:00:00,1.21782,1.22211,1.20018,1.20036
2015-01-02 21:00:00,1.20034,1.20062,1.17543,1.18416
2015-01-09 21:00:00,1.18414,1.18711,1.14601,1.15688
2015-01-16 21:00:00,1.15685,1.16804,1.11144,1.12082
2015-01-23 21:00:00,1.12087,1.14229,1.10982,1.12998
2015-01-30 21:00:00,1.12998,1.15342,1.12787,1.13200
2015-02-06 21:00:00,1.13200,1.14433,1.12704,1.13986
2015-02-13 21:00:00,1.13986,1.14501,1.12792,1.13766
2015-02-20 21:00:00,1.13764,1.13967,1.11760,1.11904
2015-02-27 21:00:00,1.11900,1.12405,1.08418,1.08497
2015-03-06 21:00:00,1.08498,1.09064,1.04624,1.04776
2015-03-13 20:00:00,1.04780,1.10515,1.04698,1.08098
2015-03-20 20:00:00,1.08095,1.10526,1.07675,1.08983
2015-03-27 20:00:00,1.08979,1.10271,1.07132,1.09694
2015-04-03 20:00:00,1.09694,1.10356,1.05678,1.06092
2015-04-10 20:00:00,1.06092,1.08488,1.05205,1.08174
2015-04-17 20:00:00,1.08176,1.09002,1.06599,1.08680
2015-04-24 20:00:00,1.08682,1.12908,1.08194,1.12082
2015-05-01 20:00:00,1.12084,1.13920,1.10663,1.12082
2015-05-08 20:00:00,1.12084,1.14670,1.11310,1.14476
2015-05-15 20:00:00,1.14476,1.14505,1.10022,1.10082
2015-05-22 20:00:00,1.10082,1.10196,1.08191,1.09830
2015-05-29 20:00:00,1.09826,1.13800,1.08873,1.11113
2015-06-05 20:00:00,1.11116,1.13866,1.10844,1.12542
2015-06-12 20:00:00,1.12539,1.14363,1.11893,1.13458
2015-06-19 20:00:00,1.13458,1.14104,1.11302,1.11698
2015-06-26 20:00:00,1.11696,1.12784,1.09546,1.11070
2015-07-03 20:00:00,1.11066,1.12159,1.09164,1.11450
2015-07-10 20:00:00,1.11448,1.11972,1.08412,1.08444
2015-07-17 20:00:00,1.08442,1.10182,1.08088,1.09782
2015-07-24 20:00:00,1.09780,1.11300,1.08934,1.09824
2015-07-31 20:00:00,1.09824,1.09963,1.08482,1.09588
2015-08-07 20:00:00,1.09585,1.12139,1.09254,1.11086
2015-08-14 20:00:00,1.11086,1.13764,1.10174,1.13664
2015-08-21 20:00:00,1.13668,1.17142,1.11560,1.11878
2015-08-28 20:00:00,1.11877,1.13324,1.10874,1.11444
2015-09-04 20:00:00,1.11441,1.13494,1.11216,1.13420
2015-09-11 20:00:00,1.13423,1.14602,1.12140,1.12824
2015-09-18 20:00:00,1.12820,1.13304,1.11054,1.12050
2015-09-25 20:00:00,1.12050,1.13184,1.11350,1.12030
2015-10-02 20:00:00,1.12028,1.13872,1.11722,1.13551
2015-10-09 20:00:00,1.13554,1.14952,1.13344,1.13543
2015-10-16 20:00:00,1.13545,1.13868,1.09966,1.10117
2015-10-23 20:00:00,1.10112,1.10960,1.08971,1.09974
2015-10-30 20:00:00,1.09971,1.10526,1.07072,1.07440
2015-11-06 21:00:00,1.07440,1.08317,1.06744,1.07508
2015-11-13 21:00:00,1.07508,1.07752,1.06173,1.06452
2015-11-20 21:00:00,1.06450,1.06895,1.05667,1.05938
2015-11-27 21:00:00,1.05934,1.09813,1.05237,1.08740
2015-12-04 21:00:00,1.08744,1.10431,1.07962,1.09894
2015-12-11 21:00:00,1.09899,1.10598,1.08026,1.08732
2015-12-18 21:00:00,1.08736,1.09842,1.08478,1.09638
2015-12-25 21:00:00,1.09638,1.09926,1.08530,1.08700
2016-01-01 21:00:00,1.08743,1.09464,1.07106,1.09194
2016-01-08 21:00:00,1.09194,1.09846,1.08050,1.09174
2016-01-15 21:00:00,1.09170,1.09760,1.07778,1.07967
2016-01-22 21:00:00,1.07970,1.09678,1.07874,1.08334
2016-01-29 21:00:00,1.08336,1.12476,1.08148,1.11530
2016-02-05 21:00:00,1.11534,1.13766,1.10867,1.12546
2016-02-12 21:00:00,1.12544,1.12595,1.10668,1.11298
2016-02-19 21:00:00,1.11300,1.11332,1.09120,1.09400
2016-02-26 21:00:00,1.09400,1.10436,1.08256,1.10017
2016-03-04 21:00:00,1.10017,1.12182,1.08223,1.11508
2016-03-11 21:00:00,1.11505,1.13424,1.10578,1.12750
2016-03-18 20:00:00,1.12748,1.12848,1.11446,1.11700
2016-03-25 20:00:00,1.11704,1.14381,1.11531,1.13903
2016-04-01 20:00:00,1.13901,1.14542,1.13272,1.14006
2016-04-08 20:00:00,1.14004,1.14650,1.12341,1.12831
2016-04-15 20:00:00,1.12834,1.13990,1.12182,1.12222
2016-04-22 20:00:00,1.12218,1.14592,1.12182,1.14506
2016-04-29 20:00:00,1.14504,1.16164,1.13861,1.14044
2016-05-06 20:00:00,1.14040,1.14468,1.12830,1.13114
2016-05-13 20:00:00,1.13117,1.13490,1.11801,1.12167
2016-05-20 20:00:00,1.12163,1.12434,1.11112,1.11128
2016-05-27 20:00:00,1.11132,1.13572,1.10980,1.13555
2016-06-03 20:00:00,1.13552,1.14158,1.12453,1.12533
2016-06-10 20:00:00,1.12530,1.13029,1.11309,1.12790
2016-06-17 20:00:00,1.12786,1.14282,1.09117,1.10870
2016-06-24 20:00:00,1.10871,1.11694,1.09710,1.11347
2016-07-01 20:00:00,1.11344,1.11868,1.10024,1.10519
2016-07-08 20:00:00,1.10516,1.11650,1.10156,1.10691
2016-07-15 20:00:00,1.10694,1.10844,1.09556,1.09736
2016-07-22 20:00:00,1.09733,1.11975,1.09523,1.11783
2016-07-29 20:00:00,1.11786,1.12338,1.10458,1.10877
2016-08-05 20:00:00,1.10878,1.12214,1.10707,1.11614
2016-08-12 20:00:00,1.11610,1.13664,1.11535,1.13283
2016-08-19 20:00:00,1.13280,1.13555,1.11806,1.11938
2016-08-26 20:00:00,1.11934,1.12522,1.11233,1.11582
2016-09-02 20:00:00,1.11580,1.13272,1.11393,1.12264
2016-09-09 20:00:00,1.12261,1.12841,1.11496,1.11535
2016-09-16 20:00:00,1.11539,1.12572,1.11232,1.12270
2016-09-23 20:00:00,1.12270,1.12792,1.11535,1.12334
2016-09-30 20:00:00,1.12338,1.12450,1.11046,1.11964
2016-10-07 20:00:00,1.11960,1.12046,1.09710,1.09717
2016-10-14 20:00:00,1.09720,1.10392,1.08592,1.08808
2016-10-21 20:00:00,1.08810,1.09920,1.08510,1.09828
2016-10-28 20:00:00,1.09831,1.11380,1.09359,1.11378
2016-11-04 20:00:00,1.11378,1.12998,1.08306,1.08474
2016-11-11 21:00:00,1.08470,1.08622,1.05692,1.05928
2016-11-18 21:00:00,1.05926,1.06580,1.05181,1.05933
2016-11-25 21:00:00,1.05936,1.06900,1.05528,1.06634
2016-12-02 21:00:00,1.06636,1.08745,1.05056,1.05596
2016-12-09 21:00:00,1.05594,1.06700,1.03666,1.04424
2016-12-16 21:00:00,1.04422,1.04994,1.03524,1.04490
2016-12-23 21:00:00,1.04494,1.06570,1.03723,1.05248
2016-12-30 21:00:00,1.05247,1.06224,1.03406,1.05343
