DateTime,Currency,Name,Country,Volatility,Actual,Previous,Consensus
02/04/2015 09:00:00,EUR,Markit Services PMI,European Monetary Union,1,52.700,52.300,52.300
02/04/2015 09:00:00,EUR,Markit PMI Composite,European Monetary Union,1,52.600,52.200,52.200
02/04/2015 09:00:02,EUR,Draghi - Varoufakis Meeting,European Monetary Union,3,,,
02/04/2015 10:00:00,EUR,Retail Sales (YoY),European Monetary Union,2,3.100,1.600,2.000
02/04/2015 10:00:00,EUR,Retail Sales (MoM),European Monetary Union,1,0.400,0.700,0.200
02/04/2015 12:00:00,USD,MBA Mortgage Applications,United States,2,1.300,-3.200,
02/04/2015 13:15:00,USD,ADP Employment Change,United States,2,250.000,253.000,225.000
02/04/2015 14:45:00,USD,Markit Services PMI,United States,2,54.200,54.000,
02/04/2015 14:45:00,USD,Markit PMI Composite,United States,2,54.400,54.200,
02/04/2015 15:00:00,USD,ISM Non-Manufacturing PMI,United States,3,56.700,56.200,56.300
02/04/2015 15:30:00,USD,EIA Crude Oil Stocks Change,United States,1,6.300,8.874,3.467
02/04/2015 17:45:00,USD,Fed's Mester speech,United States,1,,,
02/05/2015 07:00:00,EUR,Factory Orders n.s.a. (YoY),Germany,2,3.900,-0.400,
02/05/2015 07:00:00,EUR,Factory Orders s.a. (MoM),Germany,1,4.400,-2.400,1.500
